ID,latitude,longitude,label,elevation,group,alt-group,taxon,hybrid_site,missing,old_group,notes,flower_color
26643,32.2997,96.5414,kansuensis,,-1,,kansu,,,-2,EXCLUDE – tree groups out near zayuensis,pink
26845,33.0606,97.1428,kansuensis,,0,-1,kansu,,0.571,0,"INSPECT – groups near reference in tree, but outlier in PCA, and high missing data",purple
26890,33.1019,97.3031,kansuensis,,1,-1,kansu,,0.679,1,INCLUDE – tree groups near reference,purple
27837,31.725,100.744444,anthemifolia,,2,,kansu,,0.264,2,INCLUDE – groups within kansu; bad photo; high elevation (4050),
28190,29.1338889,100.0425,rupicola,,-1,,kansu,,,-3,INSPECT – groups in rupicola clade near anas,
28607,29.1122222,100.032778,kansuensis,,-1,,kansu,,,-6,INSPECT – groups below the reference,
28992,29.0019,99.7428,kansuensis,,-1,,kansu,,,-5,INSPECT – groups below the reference,purple
29532,30.68389,97.26194,anthemifolia,,-1,,kansu,,,-5,INSPECT – groups below reference; ,
29589,30.15889,97.31556,anthemifolia,,-1,,kansu,,,-4,INSPECT – groups below reference; groups with DE320; photo looks like kansu but larger flowers,
29637,30.17111,97.33361,kansuensis,,-1,,kansu,,,-2,,
30000,31.8,92.82833,anthemifolia,,-1,,kansu,,,-5,INSPECT – groups below the reference,
30412,28.9522,99.7522,kansuensis,,-1,,kansu,,,-5,INSPECT – groups below the reference,white w/ purple
30912,28.81639,99.21583,roylei,,-1,,kansu,,,-3,,
30963,29.0161111,99.3472222,rupicola,,-1,,kansu,,,-3,,
31194,31.4433333,97.1880556,kansuensis,,0,,kansu,,0.074,0,,
31332,31.3328,98.1286,kansuensis,,0,-1,kansu,,0.843,0,"INSPECT – tree and photo confirm kansu, but very high missing",pink
31863,31.4375,96.41944,kansuensis,,-1,,kansu,,,-5,INSPECT – groups below the reference,
33475,31.5922,100.3772,kansuensis,,1,,kansu,,0.112,1,INCLUDE – tree and photo confirmed,yellow
33622,32.99444,98.33972,kansuensis,,-1,,kansu,,,-3,,
33702,32.6608,98.0481,likiangensis,,0,-1,kansu,,0.781,0,"EXCLUDE – low data; groups within kansu near other samples from similar geography, but photo looks clearly more like a vert/liki, and it occurs at 4800m.",
33894,32.3989,98.1978,anthemifolia,,0,-1,kansu,,0.537,0,"INSPECT – groups near reference in tree, but high missing data and outlier in PCA.",
34578,31.97556,100.5939,kansuensis,,2,,kansu,,0.135,2,,
35198,27.35806,100.0633,likiangensis,,-1,,kansu,,,-1,EXCLUDE – groups with minima clade,
35756,30.0661,101.33,kansuensis,,5,,kansu,,0.207,5,INCLUDE – tree and photo confirmed,white
36276,31.16944,100.3011,kansuensis,,0,,kansu,,0.124,0,,
